SOM [%],Treatment,Cycle,Replica,Repeat Measurement
10.52,WDFT,0,1,0
10.53,WDFT,0,1,1
9.8,WDFT,0,2,0
10.4,WDFT,0,3,0
10.08,WD,0,1,0
9.73,WD,0,2,0
10.68,WD,0,3,0
9.11,DFT,0,1,0
12.62,DFT,0,2,0
12.54,DFT,0,3,0
10.17,WFTD,0,1,0
11.14,WFTD,0,1,1
9.63,WFTD,0,2,0
12.15,WFTD,0,3,0
11.44,WFT,0,1,0
12.55,WFT,0,2,0
11.89,WFT,0,3,0
10.54,WDFT,1,1,0
10.31,WDFT,1,2,0
11.74,WDFT,1,3,0
11.17,WD,1,1,0
10.37,WD,1,2,0
10.61,WD,1,3,0
10.36,WD,1,3,1
9.95,DFT,1,1,0
10.32,DFT,1,2,0
10.93,DFT,1,3,0
10.94,WFTD,1,1,0
8.4,WFTD,1,2,0
10.91,WFTD,1,3,0
11.65,WFT,1,1,0
9.27,WFT,1,2,0
11.64,WFT,1,3,0
9.89,WFT,1,3,1
9.55,WDFT,2,1,0
9.85,WDFT,2,2,0
11,WDFT,2,3,0
9.23,WD,2,1,0
10.15,WD,2,2,0
10.1,WD,2,3,0
11.78,DFT,2,1,0
10.27,DFT,2,2,0
12.37,DFT,2,3,0
9.24,WFTD,2,1,0
10.05,WFTD,2,1,1
10.37,WFTD,2,2,0
9.65,WFTD,2,3,0
10.76,WFT,2,1,0
9.97,WFT,2,2,0
11.53,WFT,2,3,0
9.72,WDFT,3,1,0
11.44,WDFT,3,2,0
11.24,WDFT,3,3,0
9.59,WD,3,1,0
9.83,WD,3,2,0
10.22,WD,3,2,1
9.85,WD,3,3,0
10.01,DFT,3,1,0
10.14,DFT,3,2,0
10.68,DFT,3,3,0
8.97,WFTD,3,1,0
10.7,WFTD,3,2,0
9.77,WFTD,3,3,0
9.04,WFT,3,1,0
11.3,WFT,3,2,0
11.1,WFT,3,3,0
10.78,WFT,3,3,1
6.59,WDFT,4,1,0
8.94,WDFT,4,2,0
9.52,WDFT,4,3,0
9.2,WD,4,1,0
8.53,WD,4,2,0
9.33,WD,4,3,0
7.44,DFT,4,1,0
8.88,DFT,4,2,0
9.64,DFT,4,3,0
8.28,WFTD,4,1,0
9.47,WFTD,4,1,1
8.54,WFTD,4,2,0
7.26,WFTD,4,3,0
7.2,WFT,4,1,0
8.94,WFT,4,2,0
9.18,WFT,4,3,0
8.53,WDFT,4,1,0
8.96,WDFT,5,2,0
9.58,WDFT,5,3,0
8.09,WD,5,1,0
8.62,WD,5,2,0
8.6,WD,5,2,1
10.3,WD,5,3,0
9.05,DFT,5,1,0
10.38,DFT,5,2,0
10.52,DFT,5,3,0
9.22,WFTD,5,1,0
9.37,WFTD,5,2,0
10.84,WFTD,5,3,0
8.69,WFT,5,1,0
7.83,WFT,5,2,0
8.58,WFT,5,3,0
9.05,WFT,5,3,1
6.94,WDFT,6,1,0
11.65,WDFT,6,2,0
7.53,WDFT,6,3,0
7.27,WD,6,1,0
7.68,WD,6,2,0
9.09,WD,6,3,0
7.95,DFT,6,1,0
10.22,DFT,6,2,0
9.17,DFT,6,3,0
7.8,WFTD,6,1,0
9.16,WFTD,6,1,1
10,WFTD,6,2,0
10.52,WFTD,6,2,1
11.51,WFTD,6,3,0
9.86,WFT,6,1,0
11.58,WFT,6,2,0
9.67,WFT,6,3,0
8.39,WDFT,7,1,0
7.84,WDFT,7,2,0
9.81,WDFT,7,3,0
8.77,WD,7,1,0
9.66,WD,7,2,0
8.78,WD,7,2,1
12.35,WD,7,3,0
10.22,DFT,7,1,0
10.29,DFT,7,2,0
10.54,DFT,7,3,0
9.83,WFTD,7,1,0
12.3,WFTD,7,2,0
10.52,WFTD,7,3,0
11.66,WFT,7,1,0
12.94,WFT,7,2,0
11.33,WFT,7,3,0
11.11,WFT,7,3,1
8.9,WDFT,8,1,0
9.17,WDFT,8,2,0
9.4,WDFT,8,3,0
9.18,WD,8,1,0
9.56,WD,8,2,0
8.97,WD,8,3,0
8.98,DFT,8,1,0
9.6,DFT,8,2,0
9.72,DFT,8,3,0
9.7,WFTD,8,1,0
11.15,WFTD,8,1,1
9.06,WFTD,8,2,0
9.87,WFTD,8,3,0
7.47,WFT,8,1,0
8.84,WFT,8,2,0
9.08,WFT,8,3,0
8.78,WDFT,9,1,0
9.04,WDFT,9,2,0
7.37,WDFT,9,3,0
8.03,WD,9,1,0
7.16,WD,9,2,0
8.76,WD,9,3,1
9.55,WD,9,3,0
9.1,DFT,9,1,0
10.2,DFT,9,2,0
11.92,DFT,9,3,0
8.96,WFTD,9,1,0
10.01,WFTD,9,2,0
9.6,WFTD,9,3,0
9.96,WFT,9,1,0
10.42,WFT,9,2,0
7.81,WFT,9,3,0
7.9,WFT,9,3,1
8.5,WDFT,10,1,0
9.94,WDFT,10,2,0
8.65,WDFT,10,3,0
8.1,WD,10,1,0
8.72,WD,10,2,0
8.03,WD,10,3,0
8.66,DFT,10,1,0
10.57,DFT,10,2,0
9.09,DFT,10,3,0
8.04,WFTD,10,1,0
8.48,WFTD,10,1,1
7.62,WFTD,10,2,0
6.55,WFTD,10,3,0
7.98,WFT,10,1,0
8.38,WFT,10,2,0
8.6,WFT,10,3,0
7.83,WDFT,11,1,0
7.77,WDFT,11,2,0
8.46,WDFT,11,3,0
8.03,WD,11,1,0
8.51,WD,11,2,0
8.85,WD,11,2,1
8.64,WD,11,3,0
8.54,DFT,11,1,0
9.83,DFT,11,2,0
9.33,DFT,11,3,0
8.55,WFTD,11,1,0
9.21,WFTD,11,2,0
9.41,WFTD,11,3,0
10.72,WFT,11,1,0
10.82,WFT,11,2,0
10.86,WFT,11,3,0
10.38,WFT,11,3,1